"","index","value","variable","has_issue","issue_type"
"332",9327,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"333",9351,280,"wpppd",TRUE,"normal distribution outlier"
"334",9353,367,"wpppd",TRUE,"normal distribution outlier"
"335",9354,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"336",9371,314,"wpppd",TRUE,"normal distribution outlier"
"337",9375,158.75,"wpppd",TRUE,"normal distribution outlier"
"338",9376,500,"wpppd",TRUE,"normal distribution outlier"
"339",9381,300,"wpppd",TRUE,"normal distribution outlier"
"340",9383,295.714285714286,"wpppd",TRUE,"normal distribution outlier"
"341",9399,215,"wpppd",TRUE,"normal distribution outlier"
"342",9412,245,"wpppd",TRUE,"normal distribution outlier"
"343",9413,270.25,"wpppd",TRUE,"normal distribution outlier"
"344",9417,513.333333333333,"wpppd",TRUE,"normal distribution outlier"
"345",9423,200,"wpppd",TRUE,"normal distribution outlier"
"346",9424,322.5,"wpppd",TRUE,"normal distribution outlier"
"347",9426,213.333333333333,"wpppd",TRUE,"normal distribution outlier"
"348",9430,202.5,"wpppd",TRUE,"normal distribution outlier"
"349",9445,382.5,"wpppd",TRUE,"normal distribution outlier"
"350",9447,215,"wpppd",TRUE,"normal distribution outlier"
